供应商,客户或合作方,客户类型,关系类型,工作内容或领域,原文证据,来源链接,来源日期,来源类型,置信度,分段
Scale AI,Meta,其他,客户,融资稿列出的客户,"Scale is trusted by industry leaders, including Meta, Morgan Stanley, Microsoft, the U.S. Army, the DoD's Defense Innovation Unit, OpenAI, General Motors, and Toyota Research Institute",https://www.businesswire.com/news/home/20240521674964/en/Scale-AI-Raises-$1-Billion-Series-F-to-Push-The-Frontier-of-AI-Data,2024-05-21,供应商官方新闻稿,低,overseas-large
Scale AI,Meta,科技大厂,论文致谢,Llama 2 偏好数据的采集涉及 Surge 和 Scale,The involvement of data annotation firms like Surge and Scale adds to data opacity in the Llama 2 project,https://www.interconnects.ai/p/llama-2-from-meta,2023-07,二手转述（搜索摘要）,低,overseas-large
Surge AI,Meta,科技大厂,客户,后训练数据,TBD Labs is working with third-party data labeling vendors other than Scale AI... including Mercor and Surge,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai/,2025-08-29,媒体报道,中,buyer-side
Surge AI,Meta,科技大厂,共建基准,AdvancedIF 指令遵循基准；人写 rubric 做 RL 奖励,Meta Superintelligence Labs partnered with Surge to build AdvancedIF... every prompt and rubric was written by human experts,https://surgehq.ai/blog/advancedif-and-the-evolution-of-instruction-following-benchmarks,2025,供应商博客,高,buyer-side
Surge AI,Meta,科技大厂,共建基准,AdvancedIF 指令遵循基准，prompt 与评分细则全部由专家编写,Meta Superintelligence Labs partnered with Surge to build AdvancedIF,https://en.wikipedia.org/wiki/Surge_AI,2025,二手转述（搜索摘要）,中,overseas-large
Surge AI,Meta,科技大厂,客户,TBD Lab 使用 Mercor 和 Surge 训练模型,Meta has been working with Mercor and Surge since before TBD Labs was spun up,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai,2025-08-29,媒体报道,中,overseas-large
Surge AI,Meta,科技大厂,客户,劳动诉讼称标注员为 Meta、OpenAI 等客户做训练项目,tasked with AI training projects for client companies including Meta Platforms Inc. and OpenAI Inc.,https://news.bloomberglaw.com/litigation/ai-training-firm-surge-ai-hit-with-worker-misclassification-suit,2025-05,公开诉讼文件（媒体转述）,中,overseas-large
Surge AI,Meta,其他,客户,Forbes 报道列出的客户,"With the support of customers such as Google, Meta, Microsoft, Anthropic, and Mistral",https://www.forbes.com/sites/phoebeliu/2025/09/17/the-ai-billionaire-youve-never-heard-of/,2025-09-17,媒体报道（搜索摘要）,中,overseas-large
Surge AI,Meta,科技大厂,论文致谢,Llama 2 偏好数据采集涉及 Surge,The involvement of data annotation firms like Surge and Scale adds to data opacity in the Llama 2 project,https://www.interconnects.ai/p/llama-2-from-meta,2023-07,二手转述（搜索摘要）,低,overseas-large
TaskUs,Meta,科技大厂,财报披露,最大客户 Meta 占 2025 年服务收入 26%；前五大客户占 45%；AI 服务占 18%,"the largest client, Meta, accounted for 26%",https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/task-20251231.htm,2026-02,财报,高,overseas-large
Turing,Meta,其他,客户,为这些公司生成专家级数据集,"Turing works with OpenAI, Anthropic, Meta, Google, Microsoft, Nvidia, and Amazon to generate expert-level datasets",https://www.sourcery.vc/p/exclusive-inside-the-22b-ai-research,2025-03,媒体报道（搜索摘要）,中,overseas-large
Turing,Meta,frontier lab,客户,关键需求方，用于训练数据、评测、后训练,"Clients including OpenAI, Google, Anthropic, and Meta became key demand sources",https://sacra.com/c/turing/,2025,二手转述（搜索摘要）,低,overseas-large
Vals AI,Meta,frontier lab,客户,模型评测结果使用（法律/金融/编程基准）,"Vals' results are utilized by OpenAI, Anthropic, Google, Meta, and xAI（搜索摘要）",https://www.citybiz.co/article/890247/vals-ai-raises-40m-to-expand-independent-ai-benchmarking/,2026-08,搜索摘要,低,overseas-rl
司南 OpenCompass,Meta,科技大厂,合作,采用司南评测体系开展研发,已有包括Meta、阿里巴巴、腾讯、百度等30余家国内外企业和科研机构采用“司南”,https://www.shlab.org.cn/news/5443858,2024-01,官网新闻（搜索摘要）,低,china
未具名供应商,Meta,科技大厂,论文致谢,Llama 4 安全数据：供应商人工数据+合成数据,combining human-generated data from our vendors with synthetic data,https://raw.githubusercontent.com/meta-llama/llama-models/main/models/llama4/MODEL_CARD.md,2025-04,模型卡原文,高,buyer-side
AfterQuery,Microsoft,frontier lab,投资方,A 轮天使跟投,"participation from The Raine Group, Y Combinator, Latitude Capital, BoxGroup, and angels from Google DeepMind, OpenAI, Anthropic, Meta Superintelligence Labs, and Microsoft AI.（搜索摘要）",https://www.businesswire.com/news/home/20260409469482/en/AfterQuery-Raises-$30-Million-Series-A-Round-at-$300-Million-Valuation,2026-04-09,新闻稿,高,overseas-rl
Centific,Microsoft,其他,客户,融资报道列出的客户,"Centific's customers include OpenAI, Anthropic PBC, xAI Inc., Mistral AI SAS, Microsoft Corp., Google LLC",https://siliconangle.com/2025/06/25/ai-data-foundry-provider-centific-lands-60m-grow-enterprise-footprint/,2025-06-25,媒体报道,中,overseas-large
Handshake AI,Microsoft,其他,客户变动（停止合作等）,Meta-Scale 交易后转向 Handshake 等供应商,"OpenAI, Microsoft, and xAI joined the exodus from competing platforms like Scale AI ... moving to Handshake and other providers",https://sacra.com/research/handshake-indeed-for-data-labelers/,2026,二手转述（搜索摘要）,低,overseas-large
Invisible Technologies,Microsoft,科技大厂,客户,RLHF 合同,Invisible... off the back of major RLHF contracts with Microsoft and Cohere,https://sacra.com/research/invisible-at-134m-in-revenue/,2025,分析机构（Sacra）,低,buyer-side
Invisible Technologies,Microsoft,其他,客户,公司自述客户,"it works with tech giants like Microsoft and AWS, insurance provider American Family Insurance, and even the NBA's Charlotte Hornets",https://www.inc.com/ben-sherry/invisible-technologies-just-raised-100-million-to-build-out-tools-for-businesses/91241134,2025-09,媒体报道,中,overseas-large
Sama,Microsoft,其他,官网客户墙（转述）,财富 50 强中 25% 为客户,"25% of Fortune 50 companies, including GM, Ford, Microsoft and Google, trust Sama",https://www.sama.com/,2025,供应商官网（搜索摘要）,低,overseas-large
Scale AI,Microsoft,科技大厂,客户变动（停止合作等）,标注,"OpenAI, Microsoft and xAI followed to varying degrees",https://www.datastudios.org/post/google-openai-and-microsoft-end-partnerships-with-scale-ai-after-meta-investment,2025-06,二手汇总,低,buyer-side
Scale AI,Microsoft,其他,客户,融资稿列出的客户,"Scale is trusted by industry leaders, including Meta, Morgan Stanley, Microsoft, the U.S. Army, the DoD's Defense Innovation Unit, OpenAI, General Motors, and Toyota Research Institute",https://www.businesswire.com/news/home/20240521674964/en/Scale-AI-Raises-$1-Billion-Series-F-to-Push-The-Frontier-of-AI-Data,2024-05-21,供应商官方新闻稿,低,overseas-large
Surge AI,Microsoft,科技大厂,合作,MAI-Thinking-1 盲测人类评测（1276个任务，专业评分员）,"we built a blind side by side human evaluation with partner Surge, using their pool of professional raters across 1,276 tasks",https://microsoft.ai/news/introducing-mai-thinking-1/,2026-06,实验室官方博客（搜索摘要）,高,buyer-side
Surge AI,Microsoft,其他,客户,Forbes 报道列出的客户,"With the support of customers such as Google, Meta, Microsoft, Anthropic, and Mistral",https://www.forbes.com/sites/phoebeliu/2025/09/17/the-ai-billionaire-youve-never-heard-of/,2025-09-17,媒体报道（搜索摘要）,中,overseas-large
Toloka,Microsoft,其他,客户,融资报道列出的客户，业务为安全评测、红队、专家数据,"now supports clients including Amazon, Microsoft, Anthropic, and Shopify",https://siliconangle.com/2025/05/07/ai-data-provider-toloka-raises-72m-funding/,2025-05-07,媒体报道,中,overseas-large
Toloka,Microsoft,科技大厂,客户,专家数据 / LLM 与代理训练数据,"a trusted partner to leading frontier AI labs, model developers and enterprise clients including Amazon, Anthropic, Microsoft, poolside, Recraft and Shopify",https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05-07,新闻稿,高,overseas-rl
Turing,Microsoft,其他,客户,为这些公司生成专家级数据集,"Turing works with OpenAI, Anthropic, Meta, Google, Microsoft, Nvidia, and Amazon to generate expert-level datasets",https://www.sourcery.vc/p/exclusive-inside-the-22b-ai-research,2025-03,媒体报道（搜索摘要）,中,overseas-large
micro1,Microsoft,科技大厂,客户,CEO 在融资报道中点名,"working with leading AI labs, including Microsoft, as well as several Fortune 100 companies",https://techcrunch.com/2025/09/12/micro1-a-competitor-to-scale-ai-raises-funds-at-500m-valuation/,2025-09-12,媒体报道,中,overseas-large
micro1,Microsoft,其他,客户,客户包括前沿实验室、Microsoft、Amazon 和机器人公司 1X,"the company counts frontier AI labs, Microsoft, Amazon and robotics company 1X among its customers",https://forbes.pe/tecnologia/2026-09-23/este-joven-de-25-anos-recaudo-mas-de-us-100-millones-para-su-startup-de-datos-de-ia-con-una-valoracion-de-us4000-millones,2026-09-23,媒体报道（搜索摘要）,中,overseas-large
晴数智慧 Magic Data,Microsoft,frontier lab,官网客户墙（转述）,对话式AI/语音/多轮对话数据集,客户包括微软、高通、英伟达、阿里巴巴、百度、腾讯等国内外近300家合作伙伴,https://www.magicdatatech.cn/,未知,官网/导航站（搜索摘要）,低,china
晴数智慧 Magic Data,Microsoft,科技大厂,官网客户墙（转述）,对话式AI/语音数据,客户包括微软、高通、英伟达、阿里巴巴、百度、腾讯等国内外近300家合作伙伴,https://www.magicdatatech.cn/about,未核,官网/搜索摘要,低,china
未具名供应商,Microsoft,科技大厂,论文致谢,MAI-Thinking-1 奖励模型偏好数据来自多家未具名供应商,the reward model is trained exclusively on human preference data collected with human annotators from several vendors,https://complexdiscovery.com/microsofts-first-reasoning-model-arrives-with-a-provenance-pitch-aimed-at-compliance-teams/,2026-06,媒体转述技术报告,中,buyer-side
标贝科技 DataBaker,Microsoft,frontier lab,官网客户墙（转述）,语音合成/识别数据及TTS定制,已与微软、百度、阿里、腾讯、京东、滴滴、字节跳动、网易、360、三星、小鹏、美的…中国银行等百余家企业客户建立合作,https://www.fromgeek.com/corp/1243-518640.html,未知,企业专栏/百科（搜索摘要）,低,china
海天瑞声 SpeechOcean/DataOcean AI,Microsoft,frontier lab,财报披露,AI训练数据（语音/视觉/NLP）,产品和服务已获得阿里巴巴、腾讯、百度、科大讯飞、海康威视、字节跳动、微软、亚马逊、三星、中国移动…等国内外客户的认可,https://stockmc.xueqiu.com/202604/688787_20260424_M2WS.pdf,2026-04-24,年报（2025年年度报告，搜索摘要）,高,china
海天瑞声 SpeechOcean/DataOcean AI,Microsoft,frontier lab,财报披露,多语种语音等训练数据（2018-2020前五大客户）,微软、阿里巴巴、腾讯、三星稳居前五大客户，微软销售占比逐年提升,https://www.thepaper.cn/newsDetail_forward_21991574,2023-02,媒体报道（引招股书，搜索摘要）,低,china
Toloka,Mikhail Parakhin（Shopify CTO）,其他,投资方,领投 7200 万美元，Parakhin 任执行董事长,Bezos Expeditions is leading a $72-million investment,https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05,新闻稿,高,overseas-large
Toloka,Mikhail Parakhin（个人，任董事长）,其他,投资方,$72M 战略投资（Bezos Expeditions 领投）,"led by Bezos Expeditions ... with participation from Mikhail Parakhin, CTO of Shopify",https://nebius.com/newsroom/nebius-welcomes-bezos-expeditions-as-lead-investor-in-ai-data-business-toloka,2025-05-07,新闻稿,高,overseas-rl
Centific,Mistral AI,其他,客户,融资报道列出的客户,"Centific's customers include OpenAI, Anthropic PBC, xAI Inc., Mistral AI SAS, Microsoft Corp., Google LLC",https://siliconangle.com/2025/06/25/ai-data-foundry-provider-centific-lands-60m-grow-enterprise-footprint/,2025-06-25,媒体报道,中,overseas-large
Invisible Technologies,Mistral AI,frontier lab,客户,多年期 RLHF 合同,"After signing multi-year contracts with Microsoft, Cohere, AI21, Mistral, and Perplexity",https://sacra.com/research/invisible-vs-mercor/,2025,分析机构（Sacra，搜索摘要）,低,buyer-side
Surge AI,Mistral AI,其他,客户,Forbes 报道列出的客户,"With the support of customers such as Google, Meta, Microsoft, Anthropic, and Mistral",https://www.forbes.com/sites/phoebeliu/2025/09/17/the-ai-billionaire-youve-never-heard-of/,2025-09-17,媒体报道（搜索摘要）,中,overseas-large
未具名供应商,Mistral AI,frontier lab,招聘暗示,管理专家数据采集的承包商团队与供应商关系,Technical Program Manager - Human Data Annotation... manage contractor teams and vendor relationships,https://jobs.lever.co/mistral/5102591a-0533-4160-9b44-bb24494b9d1e,2026,招聘描述（搜索摘要）,低,buyer-side
Haize Labs,MongoDB,科技大厂,客户,AI 红队/评测,"works with leading AI organizations including OpenAI, Anthropic, AI21 Labs, Google Cloud, Scale AI, HackerOne, Deloitte, and MongoDB（搜索摘要）",https://workos.com/blog/haize-labs-vs-workos-ai-safety-testing-enterprise-authentication,未知,第三方目录,低,overseas-rl
Scale AI,Morgan Stanley,其他,客户,融资稿列出的客户,"Scale is trusted by industry leaders, including Meta, Morgan Stanley, Microsoft, the U.S. Army, the DoD's Defense Innovation Unit, OpenAI, General Motors, and Toyota Research Institute",https://www.businesswire.com/news/home/20240521674964/en/Scale-AI-Raises-$1-Billion-Series-F-to-Push-The-Frontier-of-AI-Data,2024-05-21,供应商官方新闻稿,低,overseas-large
AfterQuery,Motif Technologies（韩国）,其他,客户,韩国大模型实验室训练数据,"It has named companies such as Nvidia, Legora, and the Korean AI lab Motif Technologies as customers.（搜索摘要）",https://techcrunch.com/2026/09/01/afterquery-reportedly-becomes-y-combinators-fastest-ever-unicorn-now-valued-at-3-2b/,2026-09-01,媒体报道,中,overseas-rl
